,Navn,Ticker,Sektor,Markedsverdi(MNOK)
0,2020 Bulkers,OSE: 2020,Shipping,234700
1,ABG Sundal Collier Holding,OSE: ABG,Finans,"1 845,50"
2,ABL Group,OSE: ABL,Konsulent,1739
3,Adevinta,OSE: ADE,Kommunikasjon,"100 537,38"
4,AF Gruppen,OSE: AFG,Industri,"18 376,58"
5,AGILYX,OSE: AGLX,Teknologi,2560
6,Airthings,OSE: AIRX,Teknologi,563766
7,Akastor,OSE: AKAST,Finans,350200
8,Aker,OSE: AKER,Finans,"28 415,12"
9,Aker BP,OSE: AKRBP,Energi,"61 116,32"
10,Aker Horizons,OSE: AKH,Energi,780000
11,Aker Solutions,OSE: AKSO,Energi,"3 959,49"
12,American Shipping Company,OSE: AMSC,Industri,"1 603,31"
13,Asetek,OSE: ASTK,IT,"1 631,84"
14,Atea,OSE: ATEA,IT,"11 525,19"
15,Avance Gas Holding,OSE: AGAS,Energi,"1 348,24"
16,Axactor,OSE: ACR,Finans,"1 268,10"
17,B2Holding,OSE: B2H,Finans,"1 902,09"
18,Bakkafrost,OSE: BAKKA,Konsumvarer,"32 601,16"
19,BerGenBio,OSE: BGBIO,Helsevern,"2 739,96"
20,Bonheur,OSE: BONHR,Industri,"9 101,83"
21,Bouvet,OSE: BOUV,IT,"5 350,26"
22,BW LPG,OSE: BWLPG,Energi,"5 145,48"
23,BW Offshore Limited,OSE: BWO,Energi,"5 655,42"
24,Crayon Group Holding,OSE: CRAYN,IT,"5 767,37"
25,DNB,OSE: DNB,Finans,"216 213,29"
26,DNO,OSE: DNO,Energi,"5 579,48"
27,Elkem,OSE: ELK,Materialer,"10 004,35"
28,Entra,OSE: ENTRA,Eiendom,"23 317,60"
29,Equinor,OSE: EQNR,Energi,"432 629,47"
30,Europris,OSE: EPR,Forbruksvarer,"7 375,61"
31,Fjord1,OSE: FJORD,Industri,"4 525,16"
32,Fjordkraft Holding,OSE: ELMRA,Forsyning,"8 481,94"
33,Frontline,OSE: FRO,Energi,"14 312,92"
34,Gaming Innovation Group,OSE: GIG,Forbruksvarer,64288
35,Gjensidige Forsikring,OSE: GJF,Finans,"93 197,91"
36,Golden Ocean Group,OSE: GOGL,Industri,"5 000,39"
37,Grieg Seafood,OSE: GSF,Konsumvarer,"10 159,89"
38,Hexagon Composites,OSE: HEX,Industri,"8 587,95"
39,IDEX Biometrics,OSE: IDEX,IT,"1 264,10"
40,Kitron,OSE: KIT,IT,"2 686,56"
41,Kongsberg Automotive,OSE: KOA,Forbruksvarer,"1 569,27"
42,Kongsberg Gruppen,OSE: KOG,Industri,"24 766,13"
43,Lerøy Seafood Group,OSE: LSG,Konsumvarer,"31 417,31"
44,Medistim,OSE: MEDI,Helsevern,"4 277,20"
45,Mowi,OSE: MOWI,Konsumvarer,"84 702,80"
46,MPC Container Ships,OSE: MPCC,Industri,"1 018,89"
47,Nel,OSE: NEL,Industri,"26 156,95"
48,Nordic Nanovector,OSE: NANOV,Helsevern,"1 467,47"
49,Nordic Semiconductor,OSE: NOD,IT,"15 852,00"
50,Norsk Hydro,OSE: NHY,Materialer,"52 047,77"
51,Norwegian Air Shuttle,OSE: NAS,Industri,"8 104,34"
52,Norwegian Finans Holding,OSE: NOFI,Finans,"12 517,88"
53,Olav Thon Eiendomsselskap,OSE: OLT,Eiendom,"15 906,16"
54,Orkla,OSE: ORK,Konsumvarer,"89 527,37"
55,PCI Biotech Holding,OSE: PCIB,Helsevern,"1 745,91"
56,PGS,OSE: PGS,Energi,"1 239,44"
57,Photocure,OSE: PHO,Helsevern,"1 930,68"
58,SalMar,OSE: SALM,Konsumvarer,"48 737,51"
59,SATS,OSE: SATS,Forbruksvarer,"3 521,15"
60,Scatec Solar,OSE: SCATC,Forsyning,"21 584,51"
61,Schibsted ser. A,OSE: SCHA,Kommunikasjon,"34 565,80"
62,Schibsted ser. B,OSE: SCHB,Kommunikasjon,"38 704,48"
63,SpareBank 1 SR-Bank,OSE: SRBANK,Finans,"18 374,58"
64,Stolt-Nielsen,OSE: SNI,Industri,"4 372,89"
65,Storebrand,OSE: STB,Finans,"23 098,42"
66,Subsea 7,OSE: SUBC,Energi,"20 282,00"
67,Telenor,OSE: TEL,Kommunikasjon,"197 113,66"
68,TGS-NOPEC Geophysical Company,OSE: TGS,Energi,"15 618,82"
69,TietoEVRY,OSE: TIETOO,IT,"31 709,91"
70,Tomra Systems,OSE: TOM,Industri,"55 106,51"
71,Veidekke,OSE: VEI,Industri,"16 626,61"
72,Wallenius Wilhelmsen,OSE: WAWI,Industri,"5 701,12"
73,XXL,OSE: XXL,Forbruksvarer,"5 498,07"
74,Yara International,OSE: YAR,Materialer,"101 970,69"
